4 	 2508
8 	 1797
16 	 2895
32 	 5836
64 	 11802
128 	 25169
256 	 61917
512 	 126566
1024 	 279517
2048 	 575213
4096 	 1180512
8192 	 2282145
4 	 701
8 	 1160
16 	 1933
32 	 3598
64 	 7416
128 	 15153
256 	 32008
512 	 67702
1024 	 144405
2048 	 307080
4096 	 631065
8192 	 1263955
4 	 597
8 	 966
16 	 1700
32 	 3152
64 	 6394
128 	 13507
256 	 28660
512 	 59558
1024 	 126219
2048 	 276366
4096 	 545912
8192 	 1110971
4 	 529
8 	 903
16 	 1534
32 	 3106
64 	 6592
128 	 13384
256 	 29134
512 	 62920
1024 	 139531
2048 	 294937
4096 	 607275
8192 	 1237079
4 	 482
8 	 812
16 	 1416
32 	 2957
64 	 5507
128 	 11651
256 	 25317
512 	 54080
1024 	 117428
2048 	 251267
4096 	 527910
8192 	 1077167
4 	 447
8 	 758
16 	 1306
32 	 2576
64 	 5045
128 	 10638
256 	 22665
512 	 49494
1024 	 104829
2048 	 221174
4096 	 462737
8192 	 958048
4 	 501
8 	 715
16 	 1184
32 	 2364
64 	 4906
128 	 9840
256 	 20917
512 	 43809
1024 	 91617
2048 	 198942
4096 	 415056
8192 	 867552
4 	 458
8 	 731
16 	 1179
32 	 2307
64 	 4830
128 	 10243
256 	 22220
512 	 47777
1024 	 114710
2048 	 225196
4096 	 469884
8192 	 1013625
4 	 473
8 	 693
16 	 1342
32 	 2342
64 	 4725
128 	 9888
256 	 21026
512 	 45600
1024 	 97029
2048 	 211186
4096 	 454613
8192 	 969684
4 	 507
8 	 702
16 	 1300
32 	 2550
64 	 5054
128 	 9930
256 	 21374
512 	 45035
1024 	 95836
2048 	 210411
4096 	 427559
8192 	 932864
4 	 442
8 	 656
16 	 1212
32 	 2479
64 	 4893
128 	 9573
256 	 20059
512 	 42676
1024 	 89755
2048 	 209978
4096 	 415247
8192 	 881490
