4 	 1208
8 	 969
16 	 2223
32 	 3778
64 	 6754
128 	 18701
256 	 36464
512 	 71476
1024 	 188063
2048 	 370119
4096 	 691060
8192 	 1265799
4 	 665
8 	 759
16 	 1738
32 	 2947
64 	 5395
128 	 14845
256 	 28929
512 	 57098
1024 	 149728
2048 	 288202
4096 	 564719
8192 	 1060351
4 	 594
8 	 643
16 	 1508
32 	 2573
64 	 4670
128 	 12933
256 	 25227
512 	 49820
1024 	 126620
2048 	 249886
4096 	 492658
8192 	 951537
4 	 2185
8 	 636
16 	 1493
32 	 2327
64 	 4170
128 	 11421
256 	 22522
512 	 44032
1024 	 119107
2048 	 221827
4096 	 440142
8192 	 844812
4 	 442
8 	 532
16 	 1286
32 	 2042
64 	 3694
128 	 10298
256 	 20037
512 	 39504
1024 	 103828
2048 	 206395
4096 	 399507
8192 	 784101
4 	 424
8 	 515
16 	 1136
32 	 1927
64 	 3511
128 	 9556
256 	 18673
512 	 36932
1024 	 95002
2048 	 187331
4096 	 374862
8192 	 738419
4 	 354
8 	 487
16 	 1091
32 	 1759
64 	 3232
128 	 8765
256 	 17012
512 	 33602
1024 	 66795
2048 	 176497
4096 	 351663
8192 	 684239
4 	 354
8 	 427
16 	 959
32 	 1734
64 	 3063
128 	 8308
256 	 16190
512 	 31879
1024 	 85587
2048 	 167298
4096 	 332322
8192 	 662778
4 	 326
8 	 406
16 	 974
32 	 1676
64 	 2938
128 	 8090
256 	 15771
512 	 31080
1024 	 81474
2048 	 162354
4096 	 325414
8192 	 654433
4 	 336
8 	 410
16 	 915
32 	 1676
64 	 2960
128 	 8120
256 	 15710
512 	 31305
1024 	 81438
2048 	 162413
4096 	 333787
8192 	 653509
4 	 337
8 	 425
16 	 990
32 	 1606
64 	 3023
128 	 8255
256 	 16124
512 	 31876
1024 	 81705
2048 	 162380
4096 	 332537
8192 	 676306
