4	1852
8	1590
16	3006
32	6208
64	12611
128	27250
256	59462
512	129890
1024	269667
2048	574997
4096	1180186
8192	2397641
4	548
8	861
16	1528
32	3065
64	6478
128	13486
256	28836
512	62389
1024	129189
2048	273479
4096	587886
8192	1225156
4	585
8	864
16	1537
32	3129
64	6431
128	16688
256	28529
512	61599
1024	132090
2048	277480
4096	585058
8192	1225699
4	574
8	886
16	1665
32	3408
64	6916
128	15021
256	32437
512	70258
1024	156351
2048	330036
4096	702745
8192	1487318
4	623
8	883
16	1648
32	3251
64	6767
128	14437
256	33467
512	67803
1024	147424
2048	323013
4096	734086
8192	1499031
4	568
8	909
16	1692
32	3228
64	6654
128	14425
256	30852
512	66084
1024	142731
2048	305455
4096	650788
8192	1345873
4	555
8	899
16	1606
32	3189
64	6644
128	13990
256	29690
512	62295
1024	135743
2048	294043
4096	620296
8192	1308830
4	569
8	910
16	1650
32	3338
64	7037
128	15056
256	32384
512	72043
1024	158069
2048	346063
4096	714469
8192	1495812
4	547
8	904
16	1621
32	3313
64	6926
128	14637
256	31080
512	68192
1024	152569
2048	319672
4096	675549
8192	1430908
4	581
8	894
16	1613
32	3240
64	6828
128	15310
256	30663
512	66834
1024	144841
2048	308674
4096	695385
8192	1279090
4	538
8	828
16	1468
32	3009
64	6139
128	12897
256	27634
512	60935
1024	126126
2048	268296
4096	656221
8192	1202718
