5	13541
9	9844
17	24691
33	41428
65	67608
129	178352
257	424669
513	759980
1025	4833047
2049	9878781
4097	20272051
8193	34671851
5	1025
9	1398
17	3495
33	3131
65	5793
129	11307
257	20505
513	41120
1025	4736531
2049	9714268
4097	19682317
8193	32729238
5	1186
9	1445
17	2166
33	3611
65	6150
129	12347
257	17375
513	28799
1025	4308050
2049	9739612
4097	19751637
8193	34245905
5	1281
9	1108
17	1362
33	2253
65	4066
129	9299
257	25321
513	43547
1025	4660682
2049	9510989
4097	18987995
8193	32175753
5	877
9	882
17	1781
33	3015
65	3918
129	8456
257	17097
513	32954
1025	4400673
2049	8941255
4097	18153331
8193	31875840
5	796
9	891
17	1310
33	2168
65	3972
129	9037
257	16297
513	31962
1025	4375661
2049	8899043
4097	18080790
8193	32331327
5	893
9	869
17	1331
33	2344
65	3990
129	8734
257	16457
513	43124
1025	4391414
2049	8983426
4097	18090977
8193	31925528
5	901
9	834
17	1302
33	2277
65	3926
129	7946
257	16556
513	31803
1025	4373622
2049	8929001
4097	18322755
8193	32013847
5	849
9	943
17	1363
33	2388
65	4058
129	8307
257	16712
513	31164
1025	4343206
2049	8999654
4097	18216113
8193	32311104
5	970
9	828
17	1345
33	2462
65	4134
129	8306
257	16269
513	30901
1025	4445200
2049	9034539
4097	18243274
8193	31977507
5	883
9	853
17	1317
33	2221
65	4016
129	8032
257	15901
513	34395
1025	4365505
2049	8942016
4097	18142572
8193	31936044
