4	796
8	585
16	1387
32	2565
64	4906
128	9551
256	25271
512	56125
1024	116429
2048	250071
4096	520765
8192	1156431
4	430
8	576
16	987
32	1962
64	6730
128	25867
256	98190
512	395864
1024	1566558
2048	6302638
4096	24880175
8192	99111277
4	426
8	465
16	835
32	2319
64	7718
128	28473
256	108448
512	423817
1024	1667734
2048	6657170
4096	26141573
8192	102265997
4	296
8	364
16	741
32	1730
64	4054
128	9839
256	22520
512	55896
1024	130702
2048	293500
4096	619159
8192	1327759
4	250
8	322
16	748
32	1596
64	3693
128	10438
256	22499
512	54321
1024	131483
2048	342526
4096	704551
8192	1390673
4	262
8	349
16	700
32	1556
64	3884
128	10834
256	26730
512	69856
1024	169652
2048	427998
4096	916938
8192	1685203
4	280
8	380
16	621
32	1822
64	3986
128	10674
256	27122
512	80703
1024	237958
2048	484741
4096	1292558
8192	2714221
4	285
8	413
16	659
32	1530
64	3103
128	7060
256	18038
512	41406
1024	109759
2048	243799
4096	471275
8192	1115376
4	545
8	570
16	1057
32	1401
64	2998
128	6990
256	16551
512	38674
1024	101413
2048	226117
4096	595171
8192	1195787
4	263
8	420
16	694
32	1585
64	2902
128	7126
256	16953
512	45730
1024	102429
2048	255368
4096	549085
8192	1398250
4	447
8	730
16	1209
32	1942
64	4775
128	8869
256	18352
512	51692
1024	144576
2048	327158
4096	763702
8192	1537176
