4 	 4241
8 	 1283
16 	 2152
32 	 4485
64 	 8781
128 	 18910
256 	 45702
512 	 95206
1024 	 219067
2048 	 484925
4096 	 970674
8192 	 1908217
4 	 668
8 	 979
16 	 1604
32 	 2871
64 	 5447
128 	 11041
256 	 22403
512 	 47538
1024 	 98531
2048 	 205402
4096 	 400162
8192 	 827469
4 	 589
8 	 904
16 	 1553
32 	 2835
64 	 5574
128 	 11606
256 	 25756
512 	 55060
1024 	 116017
2048 	 233340
4096 	 509748
8192 	 1014834
4 	 508
8 	 759
16 	 1272
32 	 2543
64 	 5230
128 	 11415
256 	 24262
512 	 55312
1024 	 119938
2048 	 252164
4096 	 543525
8192 	 1122775
4 	 467
8 	 676
16 	 1169
32 	 2300
64 	 4875
128 	 9845
256 	 21775
512 	 46690
1024 	 103153
2048 	 222532
4096 	 470715
8192 	 975644
4 	 421
8 	 657
16 	 1080
32 	 2133
64 	 4259
128 	 8675
256 	 18897
512 	 41372
1024 	 90640
2048 	 190660
4096 	 414080
8192 	 858419
4 	 392
8 	 611
16 	 1008
32 	 1889
64 	 3741
128 	 7762
256 	 16603
512 	 35973
1024 	 76392
2048 	 170205
4096 	 350253
8192 	 730780
4 	 363
8 	 547
16 	 995
32 	 1855
64 	 4025
128 	 8483
256 	 22405
512 	 42072
1024 	 89686
2048 	 195932
4096 	 430048
8192 	 908801
4 	 385
8 	 557
16 	 1006
32 	 1919
64 	 4241
128 	 8644
256 	 19397
512 	 42984
1024 	 88250
2048 	 191060
4096 	 412245
8192 	 931968
4 	 360
8 	 530
16 	 977
32 	 1924
64 	 3836
128 	 8577
256 	 18295
512 	 39351
1024 	 87859
2048 	 191734
4096 	 407322
8192 	 868620
4 	 374
8 	 590
16 	 988
32 	 1940
64 	 3858
128 	 8270
256 	 17416
512 	 38683
1024 	 80368
2048 	 179087
4096 	 373453
8192 	 806859
